	controlA	controlB	thrombinA	thrombinB	thrombinC
MTX1	561	582	762	645	702
HCN3	49	54	27	30	42
FDPS	4654	4659	4739	4022	4413
RUSC1	819	916	958	853	916
POU5F1P4	1	0	0	0	0
ASH1L-AS1	16	24	15	25	27
MSTO1	29	41	44	33	35
MSTO2P	165	198	138	102	130
DAP3	1408	1378	1489	1246	1463
SYT11	907	914	1461	1194	1317
RXFP4	1	1	1	0	0
LAMTOR2	581	517	682	640	651
RAB25	0	1	1	0	1
LMNA	8123	8265	10750	10661	10021
SEMA4A	9	14	14	9	9
SLC25A44	882	864	1046	907	1080
PMF1	163	164	220	176	181
PMF1-BGLAP	0	0	0	0	0
BGLAP	0	0	0	1	0
TMEM79	124	113	115	86	88
TSACC	12	14	1	6	4
RHBG	0	0	0	0	0
TTC24	0	0	0	0	0
APOA1BP	645	659	817	634	810
HAPLN2	2	1	0	0	0
BCAN	6	8	6	5	17
RRNAD1	138	155	131	133	146
PRCC	869	846	1073	959	1069
NTRK1	1	3	1	2	1
PEAR1	4572	4717	4118	3553	3878
LRRC71	8	12	2	3	5
CYCSP52	3	3	0	0	0
KIRREL	3031	3057	3764	3228	3649
CD1D	0	0	0	0	0
CD1A	0	0	0	0	0
CD1C	0	0	0	0	0
CD1E	0	0	0	0	0
OR10K1	0	0	0	0	0
OR10R2	0	0	0	0	0
OR10Z1	0	0	0	0	0
OR6K6	0	0	0	0	0
MNDA	1	0	0	0	0
PYHIN1	0	0	0	0	0
IFI16	5539	5183	2839	2257	2719
CADM3	10	9	10	11	14
ACKR1	0	2	0	2	1
FCER1A	0	0	0	0	0
OR10J1	0	0	0	0	0
APCS	0	0	0	0	0
DUSP23	179	189	308	303	290
FCRL6	0	1	0	0	0
SLAMF8	7	17	7	5	10
LINC01133	1	0	1	0	0
KCNJ9	0	0	0	0	0
ATP1A2	0	0	0	0	0
ATP1A4	1	1	0	0	0
CASQ1	1	0	0	0	1
PEA15	9271	9362	12431	10407	11828
SUMO1P3	1	1	2	0	0
NCSTN	5352	5290	6819	5889	6652
NHLH1	14	9	5	6	9
VANGL2	0	1	0	0	0
SLAMF7	0	0	1	1	0
LY9	0	0	0	0	0
LOC101928372	1	2	0	0	1
KLHDC9	3	7	10	4	3
NIT1	418	459	507	466	498
UFC1	1175	1153	1293	1065	1155
USP21	282	257	238	222	254
PPOX	224	209	192	176	198
NDUFS2	1724	1684	1902	1586	1812
FCER1G	7	15	2	4	7
TOMM40L	570	594	661	650	729
MIR5187	0	2	1	1	0
PCP4L1	1	3	0	0	1
SDHC	1305	1400	1779	1473	1706
FCGR2A	2	1	5	4	2
HSPA6	2	2	1	0	1
FCGR2C	0	0	0	0	0
HSPA7	0	0	0	0	0
FCGR2B	0	0	0	0	0
FCRLA	1	1	1	1	0
FCRLB	3	6	12	6	3
DUSP12	227	218	210	195	207
ATF6	3360	3045	2923	2309	2864
NOS1AP	15	23	5	11	18
MIR4654	0	0	0	0	0
MIR556	0	0	0	0	0
C1orf226	46	45	24	37	32
UHMK1	2511	2551	1291	1018	1329
UAP1	1539	1415	791	657	800
DDR2	348	255	181	149	173
HSD17B7	196	199	118	110	107
RGS4	551	531	297	232	287
LOC101928404	1	0	0	0	0
NUF2	278	316	110	70	83
PBX1	146	182	92	61	88
LRRC52	0	0	0	0	0
MGST3	1368	1353	1655	1481	1657
LOC440700	0	0	0	0	0
UCK2	695	781	1123	978	1105
MIR3658	0	0	0	0	0
FMO9P	0	0	0	0	0
POGK	947	996	1236	1072	1169
MAEL	0	0	0	0	0
DUSP27	0	0	0	0	0
POU2F1	436	424	315	219	260
RCSD1	87	88	228	220	239
MPZL1	3792	3667	4721	3943	4676
DCAF6	1436	1312	1003	759	925
TIPRL	973	973	893	675	839
SFT2D2	142	129	141	128	154
TBX19	52	70	34	20	24
MIR557	1	0	0	0	0
XCL1	0	0	0	0	0
LINC00626	0	0	0	0	0
ATP1B1	1116	1103	2388	1888	2323
BLZF1	404	391	131	99	140
C1orf112	253	253	264	263	276
METTL11B	0	0	0	0	0
MIR3119-2	0	0	0	0	0
GORAB	170	164	81	69	85
PRRX1	0	0	1	0	1
MROH9	0	0	0	0	0
FMO3	0	0	0	0	0
MIR1295B	0	0	0	0	0
FMO6P	0	0	0	0	0
FMO2	0	0	0	0	0
FMO1	0	0	0	0	0
FMO4	7	6	3	4	5
TOP1P1	1	1	0	1	1
PRRC2C	6942	6327	5519	4635	5244
METTL13	604	635	765	679	731
DNM3	9	9	1	4	4
MIR3120	0	0	0	0	0
C1orf105	0	0	0	0	0
SUCO	1082	1128	319	245	289
FASLG	0	0	0	0	0
PRDX6	3434	3468	3958	3258	3946
LOC730159	0	0	0	0	0
KLHL20	528	557	463	353	394
DARS2	670	686	710	591	631
GAS5-AS1	66	91	64	50	68
ZBTB37	50	37	23	14	25
RABGAP1L	326	349	208	156	191
GPR52	0	0	1	0	0
CACYBP	1245	1243	870	733	908
TNN	0	0	1	0	0
PAPPA2	8	10	10	6	14
BRINP2	10	16	1	2	5
LOC101928778	0	0	0	0	0
RASAL2	1315	1325	817	662	844
TEX35	0	0	0	0	0
C1orf220	10	14	1	1	1
MIR4424	0	0	0	0	0
RALGPS2	2964	2901	600	456	584
FAM20B	1077	1029	963	788	914
TOR3A	547	552	518	432	497
SOAT1	1106	1097	1008	867	961
AXDND1	1	2	0	0	0
TDRD5	0	0	0	0	0
FAM163A	0	0	1	0	0
TOR1AIP1	970	945	797	653	770
CEP350	872	903	189	158	203
QSOX1	9213	9601	13147	12244	12594
FLJ23867	0	0	0	0	0
LHX4	57	44	10	5	7
XPR1	1066	1076	979	806	864
KIAA1614	52	62	80	63	54
MR1	62	57	58	48	58
IER5	735	726	1043	1015	954
GM140	0	1	0	0	0
CACNA1E	0	0	0	0	0
LINC00272	0	0	0	0	0
RGSL1	0	0	0	0	0
LOC284648	0	0	1	0	2
NPL	6	7	4	2	3
DHX9	4867	4821	4260	3667	4315
LAMC1	29654	29268	38585	33198	37945
LAMC2	486	553	944	761	875
SMG7	1797	1768	1822	1610	1788
RGL1	1356	1423	1606	1375	1708
TSEN15	314	326	257	189	234
C1orf21	104	98	162	135	151
RNF2	409	396	268	171	217
SWT1	206	165	83	53	64
HMCN1	78	70	76	47	57
PRG4	100	96	22	18	23
C1orf27	343	344	83	77	101
OCLM	9	10	1	0	3
PLA2G4A	716	679	1040	859	1114
LINC01351	0	0	0	0	0
LOC440704	0	0	0	0	0
RGS18	0	0	0	0	0
RGS21	0	0	0	0	0
RGS1	0	0	0	0	0
RGS13	0	0	0	0	0
RGS2	123	124	85	63	91
TROVE2	653	601	325	292	328
CDC73	922	953	622	544	616
MIR1278	0	0	0	0	0
CFH	326	284	87	86	77
CFHR3	0	0	0	0	0
CFHR1	0	0	0	1	1
CFHR4	0	0	0	0	0
CFHR2	0	0	0	0	0
CFHR5	0	0	0	0	0
CRB1	0	1	0	0	0
C1orf53	12	15	9	14	17
LHX9	0	0	0	0	0
NEK7	1018	1007	336	334	418
PTPRC	0	0	0	0	0
NR5A2	264	227	186	141	159
LOC101929224	0	3	1	3	2
CAMSAP2	1888	1911	665	541	672
GPR25	0	0	0	0	0
C1orf106	0	0	1	4	1
IGFN1	0	0	0	0	0
PKP1	0	0	1	1	0
RPS10P7	5	3	2	1	6
NAV1	3135	3121	4089	3390	3769
MIR5191	0	1	0	0	0
MIR1231	0	0	0	0	0
IPO9	3458	3547	3710	3090	3658
MIR6739	2	3	0	1	0
SHISA4	400	436	455	457	457
TIMM17A	1479	1570	1462	1122	1421
RNPEP	1745	1703	2033	1823	2014
MIR6740	0	1	0	0	0
ELF3	2	1	1	0	0
GPR37L1	1	0	4	4	3
PTPRVP	1	0	0	0	0
LGR6	1	0	1	1	1
PPP1R12B	254	253	138	104	126
PCAT6	10	20	14	10	14
LOC641515	1	1	0	0	0
LOC148709	1	6	3	4	4
TMEM183A	1178	1156	1415	1227	1371
PPFIA4	1	2	0	0	1
ADORA1	0	0	1	1	0
LINC01353	1	0	2	0	2
BTG2	2220	2196	2293	1933	2209
PRELP	0	2	0	1	1
OPTC	0	0	0	1	0
ATP2B4	5129	5135	5206	4339	5203
SNORA77	3	3	0	0	1
LINC00260	21	13	3	3	7
LAX1	2	2	3	0	1
ZC3H11A	3098	2959	1325	1021	1317
ZBED6	645	664	252	190	231
SNRPE	941	1009	1053	871	964
SOX13	520	476	436	374	383
MDM4	370	423	120	121	142
NFASC	1	0	0	0	0
CNTN2	0	0	0	0	0
TMCC2	145	166	654	583	606
LEMD1-AS1	0	0	0	0	0
CDK18	9	12	14	13	15
MFSD4	25	15	10	3	3
LOC284581	3	1	0	0	0
FAM72C	26	17	14	12	15
AVPR1B	0	0	0	0	0
CTSE	0	1	0	0	0
SRGAP2C	0	0	0	0	0
SRGAP2	1362	1327	1345	1157	1277
IKBKE	390	390	619	562	596
MIR6769B	0	0	0	0	0
RASSF5	6	8	1	6	0
DYRK3	280	267	488	340	428
MAPKAPK2	2104	2180	3665	3021	3403
IL19	0	0	0	0	0
IL20	0	0	0	0	0
IL24	0	0	1	1	0
PFKFB2	27	35	22	15	31
C4BPB	0	0	0	0	0
C4BPA	0	2	0	0	0
CD55	5065	4914	6097	4907	5913
CR2	0	0	0	0	0
CR1	1	0	0	0	1
CR1L	0	0	0	0	1
CD46	5890	6114	3091	2648	3268
LOC148696	3	4	1	0	1
MIR205HG	0	0	0	0	0
MIR205	0	0	0	0	0
CAMK1G	0	1	0	0	1
G0S2	191	172	367	332	357
HSD11B1	5	3	6	5	4
TRAF3IP3	9	17	8	12	13
DIEXF	737	699	625	558	633
SYT14	104	124	19	29	36
SERTAD4	85	60	58	41	52
HHAT	58	72	69	57	57
RCOR3	506	471	273	209	258
TRAF5	801	837	301	240	317
LINC00467	38	27	29	13	15
DTL	197	200	128	94	125
MIR3122	0	0	0	0	0
PPP2R5A	677	652	518	419	513
SNORA16B	1	2	0	0	0
NENF	320	306	448	401	389
ATF3	352	372	717	588	697
FAM71A	0	0	1	0	0
TATDN3	139	146	122	82	117
FLVCR1	191	191	92	95	81
VASH2	10	5	10	2	3
RPS6KC1	666	651	402	332	402
LINC00538	0	0	0	0	0
PROX1	59	69	43	25	33
SMYD2	332	323	368	291	371
CENPF	1692	1673	296	243	309
KCNK2	0	0	0	0	0
KCTD3	551	560	290	237	313
SPATA17	0	1	0	1	0
LINC00210	0	0	0	0	0
LOC101929631	0	0	0	0	0
RRP15	457	416	237	185	241
TGFB2	2758	2696	2624	2291	2593
LYPLAL1	178	170	143	105	131
RNU5F-1	2	0	0	0	0
IARS2	2242	2298	1794	1441	1735
MARK1	4	3	1	3	2
C1orf115	650	627	618	568	596
MARC2	93	97	75	71	76
MARC1	44	45	57	43	53
LINC01352	1	4	3	6	6
HLX	514	477	752	665	661
TAF1A-AS1	0	1	2	0	2
MIA3	1406	1383	719	572	711
BROX	988	882	433	359	418
FAM177B	1	1	0	0	0
DISP1	89	83	84	74	83
CCDC185	0	0	0	0	0
CAPN2	9824	9841	10442	8979	10103
FBXO28	1396	1384	1021	785	971
DEGS1	2782	2782	3978	3165	3947
LOC101927164	37	39	35	26	33
CNIH4	793	858	1063	858	1122
CNIH3	12	14	24	22	32
DNAH14	28	27	11	17	14
SRP9	3002	3027	2126	1707	2130
EPHX1	394	353	400	389	353
H3F3A	4420	4327	4510	3868	4599
MIXL1	6	6	10	9	8
C1orf95	3	3	5	1	3
PSEN2	513	548	711	581	646
ADCK3	140	156	155	141	154
ZNF678	141	111	25	30	29
LOC100130093	138	183	240	222	202
SNAP47	448	453	598	524	582
PRSS38	0	0	0	0	0
WNT3A	1	1	0	0	0
ARF1	7772	7797	10507	9466	10022
MIR3620	0	0	0	0	0
GUK1	2180	2313	3158	3103	2923
GJC2	9	8	13	7	14
IBA57	207	209	242	227	221
OBSCN	54	45	56	48	50
HIST3H2BB	2	1	0	0	1
MIR4666A	0	0	0	0	0
RNF187	1784	1755	1956	1781	1835
RHOU	80	63	52	38	56
DUSP5P1	46	29	13	11	10
RAB4A	411	373	404	346	384
SPHAR	0	0	0	0	0
LOC101927478	0	1	0	0	0
URB2	284	296	389	296	373
GALNT2	4743	4622	6213	5482	5867
COG2	334	311	337	278	303
CAPN9	0	0	1	1	0
LOC101927604	1	1	2	1	1
ARV1	171	164	98	67	85
TRIM67	2	2	2	2	1
GNPAT	1033	1051	959	791	905
SPRTN	292	288	202	150	192
TSNAX	0	0	0	0	0
TSNAX-DISC1	0	0	0	0	0
DISC1	0	0	0	0	0
MAP10	40	44	20	20	39
NTPCR	247	261	270	265	260
KIAA1804	19	28	15	12	11
KCNK1	2	0	1	2	2
MIR4427	0	0	0	0	0
SLC35F3	0	0	0	0	0
MIR4671	0	0	0	0	0
COA6	213	204	207	216	228
LINC00184	1	0	0	0	0
LINC01132	0	0	2	5	5
GGPS1	583	625	395	291	374
TBCE	511	475	343	317	397
GPR137B	360	347	444	344	394
EDARADD	1	0	0	1	0
LGALS8	1852	1924	1037	790	934
ACTN2	1	3	1	1	1
MTR	1362	1413	894	729	838
RYR2	1	0	0	0	0
LOC100130331	0	0	0	0	0
CHRM3	14	18	2	6	4
RPS7P5	0	0	0	0	0
FMN2	2	1	0	0	1
MIR3123	0	0	0	0	0
KMO	247	276	257	173	200
WDR64	2	0	0	1	0
EXO1	83	100	50	31	47
BECN1P1	0	0	0	0	0
SDCCAG8	441	379	253	227	262
MIR4677	0	0	0	0	0
LOC339529	0	0	0	0	1
ZBTB18	841	797	478	402	453
C1orf100	2	1	0	1	0
C1orf101	52	48	9	7	4
DESI2	1492	1462	1297	1089	1368
COX20	689	701	568	451	561
EFCAB2	64	52	57	33	50
KIF26B	51	41	42	39	41
CNST	485	518	394	308	359
SCCPDH	770	803	738	573	668
LINC01341	6	3	2	0	0
VN1R5	0	0	0	0	0
NLRP3	0	0	0	0	0
OR2W5	0	0	0	0	0
GCSAML	0	0	0	0	0
OR2G2	0	0	0	0	0
OR2G3	0	0	0	0	0
TRIM58	5	9	2	0	6
OR2W3	0	0	2	1	0
OR2T8	0	0	1	0	0
OR2L13	0	0	1	0	0
OR2L8	0	0	0	0	0
OR2AK2	0	0	0	0	0
OR2L1P	0	1	1	1	0
OR2L5	0	0	0	0	0
OR2L2	0	0	0	0	0
OR2L3	0	0	0	0	0
OR2M1P	0	0	0	0	0
OR2M5	0	0	0	0	0
OR2M2	0	0	0	0	0
OR2M3	0	0	0	0	0
OR2M4	0	1	0	0	0
OR14C36	0	0	0	0	0
OR2T4	0	0	0	0	0
OR2T6	0	0	0	0	0
OR2T1	0	0	0	0	0
OR2T2	0	0	0	0	0
OR2T3	0	0	0	0	0
OR2T5	0	0	0	0	0
OR2G6	0	0	0	0	0
MIR3124	3	2	2	1	1
ZNF672	331	310	370	313	373
PGBD2	110	93	72	62	68
WASH7P	97	120	92	87	91
MIR6859-1	10	13	7	3	7
FAM138F	0	0	0	0	0
LOC729737	137	133	41	52	49
MIR6723	69	51	23	21	28
LOC100288069	84	89	51	46	34
LINC00115	40	22	8	6	6
FAM41C	20	19	11	10	14
LOC100130417	0	0	0	0	0
NOC2L	1559	1620	2004	1871	1876
PERM1	12	8	9	7	12
HES4	102	116	174	189	133
RNF223	0	1	0	0	0
C1orf159	171	165	222	200	206
TNFRSF18	7	4	3	7	4
TNFRSF4	131	135	206	197	201
SDF4	5728	5577	7307	7131	6931
FAM132A	13	7	10	9	14
UBE2J2	1014	951	1397	1261	1342
ACAP3	1055	1149	804	739	725
MIR6726	0	0	0	0	0
CPSF3L	1365	1418	1563	1420	1520
MIR6727	0	0	0	0	0
DVL1	617	619	733	741	638
MIR6808	0	0	0	0	0
MXRA8	17	15	9	10	7
AURKAIP1	756	855	1124	1082	1001
CCNL2	2271	2248	986	956	971
MRPL20	759	825	957	847	914
ANKRD65	0	3	0	1	3
TMEM240	23	27	25	34	19
SSU72	1247	1248	1393	1280	1363
C1orf233	22	26	31	22	26
CDK11B	500	536	627	581	614
CDK11A	0	0	0	0	0
SLC35E2B	1261	1311	1062	960	1013
SLC35E2	245	263	182	154	175
NADK	1684	1739	2036	1828	2020
GNB1	11446	11753	16081	14014	15620
TMEM52	0	2	1	1	7
KIAA1751	0	1	0	1	0
C1orf86	445	414	478	489	435
MORN1	17	11	16	12	16
LOC100129534	2	2	1	0	0
PEX10	454	466	589	533	558
PANK4	417	388	474	478	453
HES5	0	0	0	0	0
LOC115110	9	9	7	11	12
LOC100133445	297	282	219	219	166
MMEL1	267	269	343	340	350
TTC34	0	0	0	0	0
LINC00982	0	0	0	0	0
MEGF6	920	895	840	803	729
MIR551A	0	0	0	0	0
WRAP73	297	301	337	315	311
TP73-AS1	423	408	360	376	366
LRRC47	847	863	935	898	945
CEP104	929	918	904	779	855
C1orf174	413	422	367	331	410
MIR4689	0	0	0	0	0
NPHP4	208	252	253	245	238
CHD5	5	3	2	1	2
RPL22	5830	5516	5429	4527	5320
ICMT	2293	2239	2640	2135	2407
GPR153	223	197	276	270	265
ACOT7	1325	1351	1836	1789	1718
HES2	409	433	524	501	508
MIR4252	0	0	0	0	0
TNFRSF25	0	0	0	0	0
PLEKHG5	1976	2084	2197	2097	2091
NOL9	450	459	431	429	443
KLHL21	1495	1563	2667	2361	2467
DNAJC11	1142	1143	1178	1092	1191
UTS2	0	0	0	0	0
TNFRSF9	75	78	225	187	228
ERRFI1	457	489	580	498	606
RERE	2638	2493	3125	2790	2942
ENO1	31581	32934	41608	36601	40162
MIR6728	0	0	0	0	0
SLC2A7	0	0	0	0	0
SLC2A5	1	1	0	0	0
GPR157	20	33	31	28	21
MIR34A	9	4	0	4	1
LOC100506022	12	12	20	15	16
C1orf200	0	0	0	0	0
CLSTN1	7110	6996	9457	8744	9118
CTNNBIP1	762	820	990	898	976
LZIC	359	317	283	230	277
DFFA	675	647	794	764	795
CASZ1	137	132	244	255	259
C1orf127	0	0	0	0	0
MASP2	54	55	10	7	10
SRM	1430	1454	1833	1747	1779
EXOSC10	2308	2264	2047	1840	2036
MTOR	2930	2939	3381	2963	3314
FBXO2	2	4	10	13	5
MAD2L2	330	298	401	373	404
MTHFR	942	927	805	720	799
NPPA	85	75	13	11	15
NPPB	0	1	0	0	0
KIAA2013	1373	1388	1700	1546	1614
DHRS3	167	161	339	353	314
MIR6730	0	0	0	2	0
PRAMEF11	0	0	0	0	0
LOC649330	0	0	0	0	0
HNRNPCL1	0	0	0	0	0
PRAMEF4	0	0	0	0	0
PRAMEF6	0	0	0	0	0
PRAMEF9	0	0	0	0	0
HNRNPCL2	0	0	0	0	0
PRAMEF22	0	0	0	0	0
PRAMEF19	0	0	0	0	0
PRAMEF14	0	0	0	0	0
LRRC38	53	42	90	71	74
TMEM51-AS1	10	12	10	6	8
C1orf195	0	0	0	0	0
CASP9	377	365	373	333	371
AGMAT	19	19	16	16	21
UQCRHL	0	0	0	0	0
FLJ37453	55	44	56	49	40
ZBTB17	562	609	768	745	686
HSPB7	2	2	0	1	0
FAM131C	8	5	7	7	7
EPHA2	4931	5157	8543	7839	8132
ARHGEF19	64	62	81	77	76
RSG1	50	59	70	68	60
FBXO42	363	373	408	369	391
SPATA21	0	2	0	0	0
CROCCP3	116	115	38	27	28
NBPF1	717	707	472	376	427
CROCCP2	179	217	102	122	95
ESPNP	0	0	0	0	0
MST1L	5	7	1	2	1
MFAP2	2276	2230	2917	2691	2920
ATP13A2	1734	1766	2397	2341	2268
SDHB	1085	1033	1268	971	1132
PADI2	7	15	2	2	8
RCC2	3781	3712	4406	3755	4189
TAS1R2	0	0	0	0	0
ALDH4A1	430	488	602	584	596
MIR4695	0	0	0	0	0
IFFO2	1050	992	1466	1193	1417
UBR4	10477	10712	10998	9297	10551
EMC1	3957	4008	5182	4570	5050
AKR7L	2	5	3	0	1
AKR7A3	3	5	3	2	2
LOC100506730	36	42	24	34	36
AKR7A2	573	625	782	653	711
CAPZB	4489	4496	5929	5193	5765
TMCO4	91	115	113	91	97
RNF186	0	0	0	0	0
PLA2G2E	0	0	0	0	0
PLA2G2A	0	0	0	0	0
PLA2G2D	0	0	0	0	0
PLA2G2C	0	0	0	0	0
UBXN10-AS1	0	0	0	0	1
LINC01141	0	0	0	0	0
CAMK2N1	101	99	118	97	111
MUL1	813	867	1174	1049	1133
PINK1-AS	0	0	0	0	0
DDOST	6970	6797	9243	8166	8629
KIF17	20	22	61	63	63
SH2D5	60	72	44	51	48
HP1BP3	3273	3316	2522	2075	2407
EIF4G3	2648	2535	2022	1751	2027
ECE1	44646	43669	64088	58180	61156
RAP1GAP	3	5	0	3	2
USP48	2019	2003	1041	848	1036
HSPG2	130627	134005	196037	190655	184538
LOC101928043	5	4	2	3	1
WNT4	5	2	1	1	2
MIR6127	0	0	0	0	0
MIR4253	128	134	159	175	161
LACTBL1	0	1	0	0	0
C1orf234	0	0	0	0	0
LUZP1	4874	4836	7256	6028	7069
HTR1D	681	601	426	373	411
LINC01355	55	45	9	6	8
HNRNPR	2235	2066	1713	1529	1639
ZNF436	616	598	506	374	490
TCEA3	16	19	15	10	15
ASAP3	400	402	407	338	370
E2F2	15	14	8	14	12
ID3	728	911	1475	1370	1430
TCEB3-AS1	219	218	220	212	242
GALE	502	507	629	541	590
HMGCL	430	461	511	434	457
FUCA1	271	271	345	254	296
CNR2	0	0	0	0	0
SRSF10	65	79	43	26	35
MYOM3	13	14	12	9	9
IL22RA1	0	0	1	0	0
IFNLR1	5	7	0	2	4
STPG1	97	82	93	94	95
RCAN3AS	1	0	0	0	0
LOC100506985	5	3	1	1	2
RUNX3	0	1	0	0	0
MIR6731	0	0	0	0	0
SYF2	819	712	459	356	464
RSRP1	604	633	194	154	158
RHCE	61	75	73	69	110
LOC646471	128	149	105	109	113
AUNIP	194	190	154	142	190
PAQR7	223	266	272	241	269
STMN1	4492	4306	3348	2724	3217
MIR3917	0	0	0	0	0
PAFAH2	198	225	221	204	222
SLC30A2	0	0	0	0	0
TRIM63	0	0	0	1	0
UBXN11	81	86	58	66	78
AIM1L	0	0	0	0	0
ZNF683	0	0	0	0	0
GPN2	291	276	324	333	283
GPATCH3	287	296	320	268	302
NR0B2	0	0	0	0	0
KDF1	1	2	0	1	0
FAM46B	41	46	43	50	47
SLC9A1	2986	2985	3812	3544	3716
MAP3K6	359	402	419	360	377
FCN3	1	1	1	0	1
CD164L2	0	0	0	0	0
WASF2	7956	7925	10364	8824	10105
AHDC1	901	944	1271	1229	1211
FGR	1	0	0	2	0
IFI6	3365	3344	4701	4342	4472
RPA2	543	530	590	471	567
EYA3	828	814	793	592	743
PTAFR	10	11	24	24	21
DNAJC8	2425	2352	2386	2101	2260
SNHG12	231	213	103	72	100
SNORD99	7	10	10	7	2
SNORA61	70	46	16	12	18
SNORA44	12	6	7	6	6
SNORA16A	11	9	5	5	5
TAF12	306	290	287	235	241
TMEM200B	167	155	120	101	132
SRSF4	1369	1347	1289	1180	1269
MECR	254	252	328	243	305
LOC101928460	0	0	0	0	0
LOC101929406	0	0	0	0	0
MATN1	2	1	3	0	4
LAPTM5	2483	2558	3081	2586	3016
MIR4420	0	0	1	0	0
SDC3	1766	1901	2667	2324	2562
PUM1	2500	2349	2636	2116	2610
SNORD103A	5	2	4	0	0
SNORD85	0	1	0	0	0
NKAIN1	3	2	4	4	3
SNRNP40	773	801	782	625	831
FABP3	37	21	21	21	21
PEF1	1172	1191	1638	1406	1506
COL16A1	18	15	12	6	20
BAI2	14	10	9	17	9
MIR4254	0	0	0	0	0
SPOCD1	890	912	1717	1601	1714
PTP4A2	2907	2746	2854	2209	2785
TMEM234	134	133	164	143	153
MTMR9LP	518	553	229	200	181
MARCKSL1	4927	4754	6098	5232	6010
FAM229A	21	35	9	10	6
BSDC1	2993	3013	3800	3399	3833
ZBTB8OS	229	211	194	168	219
SYNC	1392	1380	1106	883	1078
YARS	2093	1945	2743	2281	2635
FNDC5	15	17	37	35	39
TMEM54	246	246	360	302	309
RNF19B	699	681	1153	1017	1119
AK2	1676	1629	1860	1475	1800
TRIM62	224	217	196	183	187
A3GALT2	0	0	0	0	0
PHC2	1896	1772	2395	2130	2352
MIR3605	3	1	0	1	0
CSMD2	3	2	2	5	2
SMIM12	801	836	1189	993	1118
DLGAP3	0	0	3	0	4
LOC653160	63	55	30	21	30
ZMYM6NB	227	282	272	235	253
ZMYM6	547	472	184	182	199
SFPQ	5645	5396	5283	4579	5266
KIAA0319L	1826	1866	2223	1858	2118
PSMB2	2615	2451	3047	2525	2900
C1orf216	807	819	904	766	804
CLSPN	495	475	215	149	197
COL8A2	20	21	28	34	31
TRAPPC3	1157	1242	1451	1313	1525
EVA1B	466	478	700	726	602
STK40	904	866	1191	1051	1037
LSM10	313	360	364	321	348
OSCP1	73	72	96	78	118
MRPS15	857	855	1017	854	941
CSF3R	0	0	0	0	0
GRIK3	0	0	0	0	0
LINC01137	20	16	26	22	26
MEAF6	927	883	979	756	896
MIR5581	2	4	2	1	0
SNIP1	367	389	442	388	478
GNL2	1334	1226	895	732	872
RSPO1	0	0	0	0	0
C1orf109	231	265	240	234	258
EPHA10	1	0	1	0	0
YRDC	342	384	697	580	637
MTF1	572	586	667	582	648
INPP5B	292	239	237	173	221
SF3A3	1683	1612	1365	1200	1346
FHL3	703	696	837	744	813
POU3F1	0	1	0	0	0
LINC01343	0	0	0	0	0
RRAGC	3051	3110	3174	2665	3150
MYCBP	0	0	0	0	0
GJA9-MYCBP	1	0	1	0	1
GJA9	0	0	0	0	0
RHBDL2	29	37	36	35	43
PPIEL	25	22	7	4	12
PABPC4	2884	2886	3395	2938	3244
SNORA55	0	5	3	3	2
HEYL	1	0	1	0	2
NT5C1A	0	0	0	0	0
HPCAL4	0	0	0	0	0
BMP8B	4	6	4	1	0
OXCT2	63	51	104	95	85
TRIT1	217	195	153	135	159
MYCL	38	45	94	55	83
PPT1	2636	2526	2622	2202	2649
COL9A2	7	6	7	2	0
RIMS3	8	10	6	9	11
NFYC-AS1	46	44	44	39	43
CITED4	231	239	595	630	590
SLFNL1	19	20	5	7	7
SCMH1	640	586	655	519	625
EDN2	0	0	1	0	0
HIVEP3	99	92	114	85	108
GUCA2A	0	0	0	0	0
FOXJ3	1077	1065	966	830	890
ZMYND12	1	6	3	1	5
CLDN19	0	0	0	0	0
LEPRE1	3196	3084	4023	3593	3964
CCDC23	220	237	166	170	190
SLC2A1	1279	1286	1624	1417	1445
EBNA1BP2	1471	1301	1471	1258	1375
MIR6733	0	1	0	0	0
C1orf210	1	0	0	0	0
ELOVL1	2460	2538	3114	2663	3088
MIR6734	0	0	0	0	0
MED8	724	691	812	633	796
HYI	2223	2209	2063	1772	1941
KDM4A-AS1	233	212	216	173	186
SLC6A9	31	31	18	17	22
ERI3	491	570	703	572	628
ERI3-IT1	6	15	2	2	4
TMEM53	48	55	41	45	38
BEST4	2	3	1	3	3
TCTEX1D4	57	62	54	31	54
PTCH2	35	27	17	10	12
EIF2B3	473	470	445	379	416
HECTD3	2464	2445	2806	2556	2609
ZSWIM5	44	57	59	43	61
MUTYH	105	108	94	86	91
TESK2	60	68	74	57	54
CCDC163P	22	22	19	22	27
PRDX1	8077	8279	9382	7659	9216
CCDC17	49	55	7	8	10
GPBP1L1	2018	1889	1795	1462	1728
RPS15AP10	16	8	2	2	2
IPP	159	162	130	146	133
PIK3R3	498	467	317	279	346
POMGNT1	1374	1412	2066	1790	2037
LRRC41	1547	1609	2123	1815	1989
KNCN	0	0	0	0	0
MKNK1	525	505	467	410	463
MOB3C	228	217	290	264	257
ATPAF1	324	335	306	257	316
EFCAB14	2798	2841	2426	1921	2304
CYP4Z2P	0	0	0	0	0
CYP4A11	0	0	0	0	0
PDZK1IP1	1	0	1	1	2
TAL1	1418	1366	1238	1109	1221
STIL	501	455	258	215	275
